word,pos,synonym
สิงโต,n,เกสรี|ไกรศร|ไกรศรี|ไกรสร|ไกรสรี|เจ้าป่า|พาฬ|ราชสีห์|สิงห์|สิงหราช|สีห์|สีหราช
น้องชาย,n,กนิษฐภาดา|อนุชา
อ้วน,adj,อ้วนจ้ำม่ำ|อวบอ้วน|อ้วนท้วน|อ้วนพี|จ้ำม่ำ|ท้วม|เจ้าเนื้อ|อวบ|อวบอั๋น|อวบอัด
ผอม,adj,ซูบ|ผอมบาง|ซูบผอม|ผ่ายผอม|ผอมโซ|ซูบซีด
เสือก,adj,จุ้น|จุ้นจ้าน|เจ๋อ|เจ๋อเจ๊อะ|ละลาบละล้วง|สอดรู้|สอดรู้สอดเห็น|สะเหล่อ|สะเออะ|สาระแน|สู่รู้|เสนอหน้า|เสือกกะโหลก|แส่|ยื่นจมูก
วัว,n,โค|คาวี|งัว|พฤษภ|วฤษภ|ฤษภ|วสภะ|อุสภ|อุสุภ|พลิพัท|วัตสดร|มอ|ฉลู
ไม่,adv,มิ|บราง|หาไม่|บมิ|บ่|ไป่|ห่อน
ภรรยา,n,เมีย|ภริยา|ฆรณี|ปัตนี|สนม|ชายา|ชาเยนทร์|ชาเยศ|มเหสี
สามี,n,ผัว|สวามี|ภัสดา|ภรรดร|ภรรดา
ฉลาด,adj,เฉียบแหลม|ฉลาดเฉลียว|คมคาย|ชาญฉลาด|ทันคน|ปราดเปรื่อง|หลักแหลม|หัวดี|หัวไว|หัวแหลม|อัจฉริยะ|โกวิท|โกศล|ธีระ|เธียร|ประทักษ์|ประพิณ|ประวีณ|ปวีณ|พยัต|พฤทธ์|พิทูร|วิทูร|วิจักขณ์|วิจักษณ์|วิสารทะ
